t,MV,PV,DV
2.600000000000000000e+01,6.903835031971264868e+01,2.669900000000000162e+01,2.473300000000000054e+01
2.700000000000000000e+01,6.640574786316369682e+01,2.702100000000000080e+01,2.444300000000000139e+01
2.800000000000000000e+01,6.611657070653335211e+01,2.702100000000000080e+01,2.489499999999999957e+01
2.900000000000000000e+01,6.355918857827581547e+01,2.734400000000000119e+01,2.476599999999999824e+01
3.000000000000000000e+01,6.350330729117514750e+01,2.734400000000000119e+01,2.486199999999999832e+01
3.100000000000000000e+01,6.130822909532393084e+01,2.763400000000000034e+01,2.479799999999999827e+01
3.200000000000000000e+01,6.078000275672997077e+01,2.769800000000000040e+01,2.537800000000000011e+01
3.300000000000000000e+01,5.881432347844076958e+01,2.795599999999999952e+01,2.537800000000000011e+01
3.400000000000000000e+01,5.865796652106417497e+01,2.798799999999999955e+01,2.531299999999999883e+01
3.500000000000000000e+01,5.691823859193247870e+01,2.824599999999999866e+01,2.541000000000000014e+01
3.600000000000000000e+01,5.642366739349166949e+01,2.831099999999999994e+01,2.550700000000000145e+01
3.700000000000000000e+01,5.469580725292942702e+01,2.856800000000000139e+01,2.579700000000000060e+01
3.800000000000000000e+01,5.437725693030437668e+01,2.863299999999999912e+01,2.576500000000000057e+01
3.900000000000000000e+01,5.219522314795189999e+01,2.895499999999999829e+01,2.573199999999999932e+01
4.000000000000000000e+01,5.226088362242125385e+01,2.895499999999999829e+01,2.611899999999999977e+01
4.100000000000000000e+01,5.082121253289126628e+01,2.918100000000000094e+01,2.634499999999999886e+01
4.200000000000000000e+01,5.041326304339430919e+01,2.927700000000000102e+01,2.624800000000000111e+01
4.300000000000000000e+01,4.922812341253216317e+01,2.947100000000000009e+01,2.653800000000000026e+01
4.400000000000000000e+01,4.855606113733205120e+01,2.960000000000000142e+01,2.647400000000000020e+01
4.500000000000000000e+01,4.808060356026543047e+01,2.969600000000000151e+01,2.673100000000000165e+01
4.600000000000000000e+01,4.674535247708089969e+01,2.992200000000000060e+01,2.695700000000000074e+01
4.700000000000000000e+01,4.665590327871674248e+01,2.998600000000000065e+01,2.679599999999999937e+01
4.800000000000000000e+01,4.497017122279439150e+01,3.024399999999999977e+01,2.711799999999999855e+01
4.900000000000000000e+01,4.481455375095883653e+01,3.030900000000000105e+01,2.731200000000000117e+01
5.000000000000000000e+01,4.404814482396228215e+01,3.046999999999999886e+01,2.734400000000000119e+01
5.100000000000000000e+01,4.365483142511158832e+01,3.056599999999999895e+01,2.727899999999999991e+01
5.200000000000000000e+01,4.313688653152915720e+01,3.069500000000000028e+01,2.734400000000000119e+01
5.300000000000000000e+01,4.203191910963031575e+01,3.088899999999999935e+01,2.763400000000000034e+01
5.400000000000000000e+01,4.241003628220692434e+01,3.088899999999999935e+01,2.792399999999999949e+01
