t,MV,PV,DV
3.100000000000000000e+01,3.057109880996900841e+01,2.785900000000000176e+01,2.573199999999999932e+01
3.200000000000000000e+01,2.913783340683081846e+01,2.798799999999999955e+01,2.557100000000000151e+01
3.300000000000000000e+01,2.872318370341795557e+01,2.798799999999999955e+01,2.573199999999999932e+01
3.400000000000000000e+01,2.664050115942029251e+01,2.821399999999999864e+01,2.582900000000000063e+01
3.500000000000000000e+01,2.558629355965770102e+01,2.831099999999999994e+01,2.608699999999999974e+01
3.600000000000000000e+01,2.481952554725210192e+01,2.837500000000000000e+01,2.618400000000000105e+01
3.700000000000000000e+01,2.262857403808919798e+01,2.863299999999999912e+01,2.634499999999999886e+01
3.800000000000000000e+01,2.243431657249407607e+01,2.863299999999999912e+01,2.647400000000000020e+01
3.900000000000000000e+01,2.202078340460188599e+01,2.866499999999999915e+01,2.647400000000000020e+01
4.000000000000000000e+01,1.969334610913683647e+01,2.895499999999999829e+01,2.666700000000000159e+01
4.100000000000000000e+01,1.960313991473376305e+01,2.895499999999999829e+01,2.676399999999999935e+01
4.200000000000000000e+01,1.904148923520590841e+01,2.901999999999999957e+01,2.698900000000000077e+01
4.300000000000000000e+01,1.706221044014477428e+01,2.927700000000000102e+01,2.698900000000000077e+01
4.400000000000000000e+01,1.706369764165324554e+01,2.927700000000000102e+01,2.711799999999999855e+01
4.500000000000000000e+01,1.683044002730715860e+01,2.930999999999999872e+01,2.731200000000000117e+01
4.600000000000000000e+01,1.565254797405764720e+01,2.947100000000000009e+01,2.731200000000000117e+01
4.700000000000000000e+01,1.474869420973819345e+01,2.960000000000000142e+01,2.740800000000000125e+01
4.800000000000000000e+01,1.484202304737131861e+01,2.960000000000000142e+01,2.753699999999999903e+01
4.900000000000000000e+01,1.470437485888702156e+01,2.963200000000000145e+01,2.763400000000000034e+01
5.000000000000000000e+01,1.288201139027380115e+01,2.989000000000000057e+01,2.763400000000000034e+01
5.100000000000000000e+01,1.280089429748819541e+01,2.992200000000000060e+01,2.766600000000000037e+01
5.200000000000000000e+01,1.297123930715320128e+01,2.992200000000000060e+01,2.785900000000000176e+01
5.300000000000000000e+01,1.314787255583101100e+01,2.992200000000000060e+01,2.766600000000000037e+01
5.400000000000000000e+01,1.333055172235914299e+01,2.992200000000000060e+01,2.779500000000000171e+01
5.500000000000000000e+01,1.134006308831422061e+01,3.021199999999999974e+01,2.808500000000000085e+01
5.600000000000000000e+01,1.133257713054849525e+01,3.024399999999999977e+01,2.798799999999999955e+01
5.700000000000000000e+01,1.157350973130377625e+01,3.024399999999999977e+01,2.814900000000000091e+01
5.800000000000000000e+01,1.181780431198169978e+01,3.024399999999999977e+01,2.831099999999999994e+01
5.900000000000000000e+01,1.157693908285142470e+01,3.030900000000000105e+01,2.866499999999999915e+01
6.000000000000000000e+01,1.111496893638746641e+01,3.040500000000000114e+01,2.866499999999999915e+01
6.100000000000000000e+01,1.018008535366611689e+01,3.056599999999999895e+01,2.863299999999999912e+01
6.200000000000000000e+01,1.047844537412837340e+01,3.056599999999999895e+01,2.885800000000000054e+01
6.300000000000000000e+01,1.077774825073103671e+01,3.056599999999999895e+01,2.901999999999999957e+01
6.400000000000000000e+01,1.107795764993215037e+01,3.056599999999999895e+01,2.872899999999999920e+01
6.500000000000000000e+01,1.137903863832517359e+01,3.056599999999999895e+01,2.924500000000000099e+01
6.600000000000000000e+01,9.742416146973257085e+00,3.082400000000000162e+01,2.924500000000000099e+01
6.700000000000000000e+01,9.839284504364806949e+00,3.085600000000000165e+01,2.930999999999999872e+01
6.800000000000000000e+01,9.932205320915828750e+00,3.088899999999999935e+01,2.947100000000000009e+01
6.900000000000000000e+01,1.027662143639055792e+01,3.088899999999999935e+01,2.937399999999999878e+01
7.000000000000000000e+01,1.061999884508978020e+01,3.088899999999999935e+01,2.927700000000000102e+01
7.100000000000000000e+01,1.096237757421869574e+01,3.088899999999999935e+01,2.956700000000000017e+01
7.200000000000000000e+01,1.130379610850950733e+01,3.088899999999999935e+01,2.989000000000000057e+01
7.300000000000000000e+01,1.116341294257054884e+01,3.095299999999999940e+01,2.989000000000000057e+01
7.400000000000000000e+01,1.030188937873632860e+01,3.111400000000000077e+01,2.972899999999999920e+01
7.500000000000000000e+01,1.139174941237884120e+01,3.101800000000000068e+01,2.985699999999999932e+01
7.600000000000000000e+01,1.126443266516787389e+01,3.108200000000000074e+01,2.989000000000000057e+01
7.700000000000000000e+01,1.065582867396829236e+01,3.121099999999999852e+01,3.001899999999999835e+01
7.800000000000000000e+01,1.103199839876645783e+01,3.121099999999999852e+01,3.001899999999999835e+01
7.900000000000000000e+01,1.140569964909922618e+01,3.121099999999999852e+01,2.992200000000000060e+01
8.000000000000000000e+01,1.177702754915013905e+01,3.121099999999999852e+01,3.021199999999999974e+01
8.100000000000000000e+01,1.214607355743375194e+01,3.121099999999999852e+01,3.053399999999999892e+01
8.200000000000000000e+01,1.251292560805444154e+01,3.121099999999999852e+01,3.053399999999999892e+01
8.300000000000000000e+01,1.263722899297622959e+01,3.124299999999999855e+01,3.056599999999999895e+01
8.400000000000000000e+01,1.276379360660947171e+01,3.127499999999999858e+01,3.059900000000000020e+01
8.500000000000000000e+01,1.288499810018647906e+01,3.130799999999999983e+01,3.063100000000000023e+01
8.600000000000000000e+01,1.204662975368063016e+01,3.146900000000000119e+01,3.056599999999999895e+01
8.700000000000000000e+01,1.219676844272329497e+01,3.150100000000000122e+01,3.053399999999999892e+01
8.800000000000000000e+01,1.234800762682999853e+01,3.153300000000000125e+01,3.066300000000000026e+01
8.900000000000000000e+01,1.274072366703770420e+01,3.153300000000000125e+01,3.076000000000000156e+01
9.000000000000000000e+01,1.313012748752532310e+01,3.153300000000000125e+01,3.056599999999999895e+01
9.100000000000000000e+01,1.351634672671934112e+01,3.153300000000000125e+01,3.085600000000000165e+01
9.200000000000000000e+01,1.389950410442088469e+01,3.153300000000000125e+01,3.082400000000000162e+01
9.300000000000000000e+01,1.427971761134797646e+01,3.153300000000000125e+01,3.117899999999999849e+01
9.400000000000000000e+01,1.465710069137366034e+01,3.153300000000000125e+01,3.121099999999999852e+01
9.500000000000000000e+01,1.406249167588620352e+01,3.166199999999999903e+01,3.088899999999999935e+01
9.600000000000000000e+01,1.372299688413100682e+01,3.175900000000000034e+01,3.143700000000000117e+01
9.700000000000000000e+01,1.340075334970752508e+01,3.185500000000000043e+01,3.140399999999999991e+01
9.800000000000000000e+01,1.380899372965247984e+01,3.185500000000000043e+01,3.150100000000000122e+01
9.900000000000000000e+01,1.421311752708449383e+01,3.185500000000000043e+01,3.121099999999999852e+01
1.000000000000000000e+02,1.461328337704557967e+01,3.185500000000000043e+01,3.146900000000000119e+01
1.010000000000000000e+02,1.500964380147872745e+01,3.185500000000000043e+01,3.146900000000000119e+01
1.020000000000000000e+02,1.540234544479992707e+01,3.185500000000000043e+01,3.162999999999999901e+01
1.030000000000000000e+02,1.554357632017348934e+01,3.188800000000000168e+01,3.153300000000000125e+01
1.040000000000000000e+02,1.569336209026920592e+01,3.192000000000000171e+01,3.172700000000000031e+01
1.050000000000000000e+02,1.511516225237281219e+01,3.204899999999999949e+01,3.153300000000000125e+01
1.060000000000000000e+02,1.503914954922303515e+01,3.211299999999999955e+01,3.159799999999999898e+01
1.070000000000000000e+02,1.496009109920120217e+01,3.217799999999999727e+01,3.192000000000000171e+01
1.080000000000000000e+02,1.537381376017760992e+01,3.217799999999999727e+01,3.185500000000000043e+01
1.090000000000000000e+02,1.578300181263114688e+01,3.217799999999999727e+01,3.195200000000000173e+01
1.100000000000000000e+02,1.618783000049352694e+01,3.217799999999999727e+01,3.224199999999999733e+01
1.110000000000000000e+02,1.610758782674045619e+01,3.224199999999999733e+01,3.188800000000000168e+01
1.120000000000000000e+02,1.651277254798647931e+01,3.224199999999999733e+01,3.224199999999999733e+01
1.130000000000000000e+02,1.618487921965760279e+01,3.233899999999999864e+01,3.246800000000000352e+01
1.140000000000000000e+02,1.562546582180848986e+01,3.246800000000000352e+01,3.240299999999999869e+01
1.150000000000000000e+02,1.580768664952089964e+01,3.250000000000000000e+01,3.256400000000000006e+01
1.160000000000000000e+02,1.622957142808251518e+01,3.250000000000000000e+01,3.217799999999999727e+01
1.170000000000000000e+02,1.664640094309249108e+01,3.250000000000000000e+01,3.246800000000000352e+01
1.180000000000000000e+02,1.705837000224467559e+01,3.250000000000000000e+01,3.269299999999999784e+01
1.190000000000000000e+02,1.746566590619848469e+01,3.250000000000000000e+01,3.282200000000000273e+01
1.200000000000000000e+02,1.617036650970198508e+01,3.272599999999999909e+01,3.288700000000000045e+01
1.210000000000000000e+02,1.611826446346737995e+01,3.278999999999999915e+01,3.250000000000000000e+01
1.220000000000000000e+02,1.630971486870199527e+01,3.282200000000000273e+01,3.291899999999999693e+01
1.230000000000000000e+02,1.674026743453111266e+01,3.282200000000000273e+01,3.304800000000000182e+01
1.240000000000000000e+02,1.716522459548723134e+01,3.282200000000000273e+01,3.311200000000000188e+01
1.250000000000000000e+02,1.758480197394262134e+01,3.282200000000000273e+01,3.282200000000000273e+01
1.260000000000000000e+02,1.775876762958319688e+01,3.285399999999999920e+01,3.317699999999999960e+01
1.270000000000000000e+02,1.768409651339259270e+01,3.291899999999999693e+01,3.320900000000000318e+01
1.280000000000000000e+02,1.762068459400152420e+01,3.298299999999999699e+01,3.282200000000000273e+01
1.290000000000000000e+02,1.707230592604186370e+01,3.311200000000000188e+01,3.307999999999999829e+01
1.300000000000000000e+02,1.725721028125599332e+01,3.314500000000000313e+01,3.324099999999999966e+01
1.310000000000000000e+02,1.768862115321335438e+01,3.314500000000000313e+01,3.314500000000000313e+01
1.320000000000000000e+02,1.811419678200800121e+01,3.314500000000000313e+01,3.314500000000000313e+01
1.330000000000000000e+02,1.853416203232837844e+01,3.314500000000000313e+01,3.343500000000000227e+01
1.340000000000000000e+02,1.894873310356371476e+01,3.314500000000000313e+01,3.336999999999999744e+01
1.350000000000000000e+02,1.935811786372663335e+01,3.314500000000000313e+01,3.353099999999999881e+01
1.360000000000000000e+02,1.904119840987140932e+01,3.324099999999999966e+01,3.353099999999999881e+01
1.370000000000000000e+02,1.848439973857312424e+01,3.336999999999999744e+01,3.327300000000000324e+01
1.380000000000000000e+02,1.842060415262202611e+01,3.343500000000000227e+01,3.353099999999999881e+01
1.390000000000000000e+02,1.860775761317249177e+01,3.346699999999999875e+01,3.375699999999999790e+01
1.400000000000000000e+02,1.903376593399057271e+01,3.346699999999999875e+01,3.356300000000000239e+01
1.410000000000000000e+02,1.945394107947920759e+01,3.346699999999999875e+01,3.378900000000000148e+01
1.420000000000000000e+02,1.962806858109608044e+01,3.349900000000000233e+01,3.378900000000000148e+01
1.430000000000000000e+02,2.028197167562112213e+01,3.346699999999999875e+01,3.372500000000000142e+01
1.440000000000000000e+02,2.068577591290411277e+01,3.346699999999999875e+01,3.385399999999999920e+01
1.450000000000000000e+02,1.890562188763322382e+01,3.375699999999999790e+01,3.391799999999999926e+01
1.460000000000000000e+02,1.933853514730311929e+01,3.375699999999999790e+01,3.395000000000000284e+01
1.470000000000000000e+02,1.952472425347947294e+01,3.378900000000000148e+01,3.365999999999999659e+01
1.480000000000000000e+02,1.994959925911150478e+01,3.378900000000000148e+01,3.407900000000000063e+01
1.490000000000000000e+02,2.036847863961102334e+01,3.378900000000000148e+01,3.398199999999999932e+01
1.500000000000000000e+02,2.078159344008444975e+01,3.378900000000000148e+01,3.378900000000000148e+01
1.510000000000000000e+02,2.118916580217275225e+01,3.378900000000000148e+01,3.414399999999999835e+01
1.520000000000000000e+02,2.159140930715198436e+01,3.378900000000000148e+01,3.401500000000000057e+01
1.530000000000000000e+02,2.174809005226673264e+01,3.382099999999999795e+01,3.391799999999999926e+01
1.540000000000000000e+02,2.020603185373683885e+01,3.407900000000000063e+01,3.407900000000000063e+01
1.550000000000000000e+02,2.039173677802789442e+01,3.411099999999999710e+01,3.433700000000000330e+01
1.560000000000000000e+02,2.081594013722005343e+01,3.411099999999999710e+01,3.420799999999999841e+01
1.570000000000000000e+02,2.123396763078721960e+01,3.411099999999999710e+01,3.440100000000000335e+01
1.580000000000000000e+02,2.139810426929536291e+01,3.414399999999999835e+01,3.430499999999999972e+01
1.590000000000000000e+02,2.180890822850683008e+01,3.414399999999999835e+01,3.411099999999999710e+01
1.600000000000000000e+02,2.173315304474503051e+01,3.420799999999999841e+01,3.449799999999999756e+01
1.610000000000000000e+02,2.166051483863988736e+01,3.427199999999999847e+01,3.411099999999999710e+01
1.620000000000000000e+02,2.110244029326654669e+01,3.440100000000000335e+01,3.411099999999999710e+01
1.630000000000000000e+02,2.127719727633420987e+01,3.443399999999999750e+01,3.449799999999999756e+01
1.640000000000000000e+02,2.169802668003978496e+01,3.443399999999999750e+01,3.417600000000000193e+01
1.650000000000000000e+02,2.211260347263807802e+01,3.443399999999999750e+01,3.436899999999999977e+01
1.660000000000000000e+02,2.252116860234829687e+01,3.443399999999999750e+01,3.472399999999999665e+01
1.670000000000000000e+02,2.292395373230164779e+01,3.443399999999999750e+01,3.469100000000000250e+01
1.680000000000000000e+02,2.332118159834792337e+01,3.443399999999999750e+01,3.443399999999999750e+01
1.690000000000000000e+02,2.323218784598278219e+01,3.449799999999999756e+01,3.443399999999999750e+01
1.700000000000000000e+02,2.313912186244599312e+01,3.456300000000000239e+01,3.443399999999999750e+01
1.710000000000000000e+02,2.232814006741173074e+01,3.472399999999999665e+01,3.469100000000000250e+01
1.720000000000000000e+02,2.250252631763251543e+01,3.475600000000000023e+01,3.443399999999999750e+01
1.730000000000000000e+02,2.291543428909330515e+01,3.475600000000000023e+01,3.443399999999999750e+01
1.740000000000000000e+02,2.332218878391454453e+01,3.475600000000000023e+01,3.498100000000000165e+01
1.750000000000000000e+02,2.324214842301666906e+01,3.482000000000000028e+01,3.472399999999999665e+01
1.760000000000000000e+02,2.364587691745641962e+01,3.482000000000000028e+01,3.504599999999999937e+01
1.770000000000000000e+02,2.258610172892930734e+01,3.501400000000000290e+01,3.475600000000000023e+01
1.780000000000000000e+02,2.252349957967347294e+01,3.507800000000000296e+01,3.475600000000000023e+01
1.790000000000000000e+02,2.294382913923719869e+01,3.507800000000000296e+01,3.514300000000000068e+01
1.800000000000000000e+02,2.335751310389219526e+01,3.507800000000000296e+01,3.504599999999999937e+01
1.810000000000000000e+02,2.376480756573045028e+01,3.507800000000000296e+01,3.536800000000000210e+01
1.820000000000000000e+02,2.343712726086772236e+01,3.517499999999999716e+01,3.517499999999999716e+01
1.830000000000000000e+02,2.215478549988448265e+01,3.539999999999999858e+01,3.533599999999999852e+01
1.840000000000000000e+02,2.258694968733626851e+01,3.539999999999999858e+01,3.546500000000000341e+01
1.850000000000000000e+02,2.301180610240460211e+01,3.539999999999999858e+01,3.520700000000000074e+01
1.860000000000000000e+02,2.342963635459820537e+01,3.539999999999999858e+01,3.556199999999999761e+01
1.870000000000000000e+02,2.335231896766563153e+01,3.546500000000000341e+01,3.568999999999999773e+01
1.880000000000000000e+02,2.303677999456120062e+01,3.556199999999999761e+01,3.565800000000000125e+01
1.890000000000000000e+02,2.224674246728995897e+01,3.572299999999999898e+01,3.552900000000000347e+01
1.900000000000000000e+02,2.268106564577283280e+01,3.572299999999999898e+01,3.565800000000000125e+01
1.910000000000000000e+02,2.310779109088888106e+01,3.572299999999999898e+01,3.565800000000000125e+01
1.920000000000000000e+02,2.328677233242633804e+01,3.575500000000000256e+01,3.594800000000000040e+01
1.930000000000000000e+02,2.322258022450157000e+01,3.581900000000000261e+01,3.585199999999999676e+01
1.940000000000000000e+02,2.218324378231625360e+01,3.601299999999999812e+01,3.591599999999999682e+01
1.950000000000000000e+02,2.238009252048037467e+01,3.604500000000000171e+01,3.610900000000000176e+01
1.960000000000000000e+02,2.281377224274041282e+01,3.604500000000000171e+01,3.610900000000000176e+01
1.970000000000000000e+02,2.323967290481377646e+01,3.604500000000000171e+01,3.607699999999999818e+01
1.980000000000000000e+02,2.365809427757488237e+01,3.604500000000000171e+01,3.581900000000000261e+01
1.990000000000000000e+02,2.406932458004291675e+01,3.604500000000000171e+01,3.617399999999999949e+01
2.000000000000000000e+02,2.447364092453968354e+01,3.604500000000000171e+01,3.633500000000000085e+01
2.010000000000000000e+02,2.439043123760202292e+01,3.610900000000000176e+01,3.636699999999999733e+01
2.020000000000000000e+02,2.285174592488251832e+01,3.636699999999999733e+01,3.643200000000000216e+01
2.030000000000000000e+02,2.327966838816697503e+01,3.636699999999999733e+01,3.604500000000000171e+01
2.040000000000000000e+02,2.369982752798291870e+01,3.636699999999999733e+01,3.643200000000000216e+01
2.050000000000000000e+02,2.411252250878063563e+01,3.636699999999999733e+01,3.630299999999999727e+01
2.060000000000000000e+02,2.451804096652412568e+01,3.636699999999999733e+01,3.643200000000000216e+01
2.070000000000000000e+02,2.491665945294838025e+01,3.636699999999999733e+01,3.643200000000000216e+01
2.080000000000000000e+02,2.482025162893265602e+01,3.643200000000000216e+01,3.665699999999999648e+01
2.090000000000000000e+02,2.400486036486456953e+01,3.659300000000000352e+01,3.659300000000000352e+01
