t,MV,PV,DV
1.090000000000000000e+02,9.076348138891239614e+01,4.281300000000000239e+01,3.733400000000000318e+01
1.100000000000000000e+02,9.050223246204291172e+01,4.313499999999999801e+01,3.746300000000000097e+01
1.110000000000000000e+02,9.035836051688875159e+01,4.313499999999999801e+01,3.733400000000000318e+01
1.120000000000000000e+02,9.005045519106241159e+01,4.345700000000000074e+01,3.772099999999999653e+01
1.130000000000000000e+02,8.979212398809065121e+01,4.358599999999999852e+01,3.801100000000000279e+01
1.140000000000000000e+02,8.960807227483635984e+01,4.377900000000000347e+01,3.765599999999999881e+01
1.150000000000000000e+02,8.934686345246207395e+01,4.381199999999999761e+01,3.833299999999999841e+01
1.160000000000000000e+02,8.919326195756092091e+01,4.410199999999999676e+01,3.836500000000000199e+01
1.170000000000000000e+02,8.888662223371215987e+01,4.422999999999999687e+01,3.849399999999999977e+01
1.180000000000000000e+02,8.866357915542501189e+01,4.442399999999999949e+01,3.868800000000000239e+01
1.190000000000000000e+02,8.852794267810412521e+01,4.458500000000000085e+01,3.868800000000000239e+01
1.200000000000000000e+02,8.821843370826329078e+01,4.474600000000000222e+01,3.900999999999999801e+01
1.210000000000000000e+02,8.793754019338869909e+01,4.490699999999999648e+01,3.891299999999999670e+01
1.220000000000000000e+02,8.787439726968003129e+01,4.503600000000000136e+01,3.894500000000000028e+01
1.230000000000000000e+02,8.746412337367294754e+01,4.516499999999999915e+01,3.936399999999999721e+01
1.240000000000000000e+02,8.726606440089994976e+01,4.539099999999999824e+01,3.926800000000000068e+01
1.250000000000000000e+02,8.703559240465961011e+01,4.545499999999999829e+01,3.971900000000000119e+01
1.260000000000000000e+02,8.678228643536394316e+01,4.571300000000000097e+01,3.997699999999999676e+01
1.270000000000000000e+02,8.659393269232208468e+01,4.584199999999999875e+01,3.991199999999999903e+01
1.280000000000000000e+02,8.629668645212449007e+01,4.603499999999999659e+01,4.033100000000000307e+01
1.290000000000000000e+02,8.613965286938542931e+01,4.616400000000000148e+01,4.033100000000000307e+01
1.300000000000000000e+02,8.594127483872826190e+01,4.635699999999999932e+01,4.049199999999999733e+01
1.310000000000000000e+02,8.561133826163595018e+01,4.635699999999999932e+01,4.052400000000000091e+01
1.320000000000000000e+02,8.545315553194579650e+01,4.664699999999999847e+01,4.094299999999999784e+01
1.330000000000000000e+02,8.511059015310615905e+01,4.667999999999999972e+01,4.110399999999999920e+01
1.340000000000000000e+02,8.482916674628386033e+01,4.684100000000000108e+01,4.100800000000000267e+01
1.350000000000000000e+02,8.465628313447902542e+01,4.700200000000000244e+01,4.126599999999999824e+01
1.360000000000000000e+02,8.432031350293962646e+01,4.703399999999999892e+01,4.142699999999999960e+01
1.370000000000000000e+02,8.412349098820892834e+01,4.732399999999999807e+01,4.158800000000000097e+01
1.380000000000000000e+02,8.387332901641036642e+01,4.732399999999999807e+01,4.168500000000000227e+01
1.390000000000000000e+02,8.366680213729333104e+01,4.758200000000000074e+01,4.190999999999999659e+01
1.400000000000000000e+02,8.332911710399065441e+01,4.764600000000000080e+01,4.190999999999999659e+01
1.410000000000000000e+02,8.307558703613828754e+01,4.771099999999999852e+01,4.210399999999999920e+01
1.420000000000000000e+02,8.290966411389484847e+01,4.793699999999999761e+01,4.223199999999999932e+01
1.430000000000000000e+02,8.262584604605467575e+01,4.796900000000000119e+01,4.226500000000000057e+01
1.440000000000000000e+02,8.237344601710405811e+01,4.800099999999999767e+01,4.255499999999999972e+01
1.450000000000000000e+02,8.212069953046641047e+01,4.829099999999999682e+01,4.232900000000000063e+01
1.460000000000000000e+02,8.188954788559507847e+01,4.829099999999999682e+01,4.274799999999999756e+01
1.470000000000000000e+02,8.161519515918092793e+01,4.845199999999999818e+01,4.287700000000000244e+01
1.480000000000000000e+02,8.141668273660089028e+01,4.861299999999999955e+01,4.290899999999999892e+01
1.490000000000000000e+02,8.115380795323767416e+01,4.874199999999999733e+01,4.319899999999999807e+01
1.500000000000000000e+02,8.091279726957996843e+01,4.893599999999999994e+01,4.326400000000000290e+01
1.510000000000000000e+02,8.070455668574133767e+01,4.893599999999999994e+01,4.339300000000000068e+01
1.520000000000000000e+02,8.040993745819811522e+01,4.909700000000000131e+01,4.352100000000000080e+01
1.530000000000000000e+02,8.028991628712337558e+01,4.925800000000000267e+01,4.358599999999999852e+01
1.540000000000000000e+02,7.995441185912858373e+01,4.925800000000000267e+01,4.384400000000000119e+01
1.550000000000000000e+02,7.971425393676352655e+01,4.938700000000000045e+01,4.416599999999999682e+01
1.560000000000000000e+02,7.950760765227946081e+01,4.957999999999999829e+01,4.403699999999999903e+01
1.570000000000000000e+02,7.921432368056238715e+01,4.967699999999999960e+01,4.422999999999999687e+01
1.580000000000000000e+02,7.899607507707055731e+01,4.986999999999999744e+01,4.422999999999999687e+01
1.590000000000000000e+02,7.875718634901431869e+01,4.990200000000000102e+01,4.448799999999999955e+01
1.600000000000000000e+02,7.851898921620166050e+01,5.006300000000000239e+01,4.471399999999999864e+01
1.610000000000000000e+02,7.830273552751978627e+01,5.022500000000000142e+01,4.481099999999999994e+01
1.620000000000000000e+02,7.802168472706313196e+01,5.022500000000000142e+01,4.481099999999999994e+01
1.630000000000000000e+02,7.771724550593513925e+01,5.045000000000000284e+01,4.513300000000000267e+01
1.640000000000000000e+02,7.756488414459641945e+01,5.054699999999999704e+01,4.500399999999999778e+01
1.650000000000000000e+02,7.730643987777077086e+01,5.057900000000000063e+01,4.545499999999999829e+01
1.660000000000000000e+02,7.711356886793240051e+01,5.080499999999999972e+01,4.532600000000000051e+01
1.670000000000000000e+02,7.683463861695530284e+01,5.086899999999999977e+01,4.555199999999999960e+01
1.680000000000000000e+02,7.656522955470850889e+01,5.086899999999999977e+01,4.548700000000000188e+01
1.690000000000000000e+02,7.633906127759928495e+01,5.106300000000000239e+01,4.577700000000000102e+01
1.700000000000000000e+02,7.614705408870494807e+01,5.119100000000000250e+01,4.571300000000000097e+01
1.710000000000000000e+02,7.584712944254133049e+01,5.119100000000000250e+01,4.610000000000000142e+01
1.720000000000000000e+02,7.569932010322509086e+01,5.141700000000000159e+01,4.613199999999999790e+01
